"Element","Year","Brazil","China, mainland","France","Germany","India","Indonesia","Italy","Japan","Nigeria","United Kingdom","United States of America"
"Food","1961",71616,421752,94396,118159,294341,60962,83800,97046,40490,89343,324934
"Food","1962",76420,435337,97110,122048,302938,63652,83298,102022,42072,90752,327778
"Food","1963",79684,424916,98196,125453,299645,64415,88683,107065,43072,93244,329060
"Food","1964",84811,420137,99389,127003,309298,69404,90109,108955,43977,94083,337165
"Food","1965",88252,474811,99252,128292,311222,69215,92251,111266,44357,94018,340652
"Food","1966",90654,504486,100439,131182,320928,67903,95793,115263,44154,94169,349589
"Food","1967",95667,503604,102601,133335,332309,68581,98829,119585,46416,94543,354981
"Food","1968",100973,504327,104036,137849,345454,71228,101867,125335,47471,95975,362562
"Food","1969",103456,521702,102798,138532,359601,71449,104559,125671,50793,97362,368960
"Food","1970",104988,541351,104215,142238,375413,73318,106728,128927,56548,98937,374112
"Food","1971",106731,550766,103539,142534,371753,75491,105726,131200,53951,97690,382966
"Food","1972",108780,548989,102611,143502,379168,77646,105280,137273,50881,96897,386385
"Food","1973",106550,602177,103825,147168,396193,86067,109331,138122,54420,99835,392059
"Food","1974",113724,605168,103559,143607,393933,88032,109418,137798,56794,98533,395138
"Food","1975",116778,615882,103281,145574,419904,87189,108117,139895,60398,97844,399697
"Food","1976",123480,603773,103082,146192,413035,85251,108047,141228,59934,97104,412831
"Food","1977",124992,633407,106319,145227,448126,91153,107469,147387,61573,99659,419890
"Food","1978",126325,687577,108187,148948,466017,93439,111464,149124,63465,97691,424190
"Food","1979",134379,676193,110380,149646,462331,96805,116406,151924,64332,100682,434961
"Food","1980",140531,688766,109133,149305,462715,101432,118487,151042,67868,98565,435847
"Food","1981",134544,704559,110318,148299,490465,108410,116325,149971,69678,98249,441333
"Food","1982",143202,757680,111899,153263,496884,106498,117434,154354,72141,99821,448151
"Food","1983",141723,801631,111745,153497,545609,113342,118064,155746,67578,99124,457920
"Food","1984",141230,832692,112067,156068,569040,117045,118833,155045,70716,100888,470232
"Food","1985",157332,841481,115080,155944,571741,119374,119017,159154,74117,101787,481098
"Food","1986",159187,882710,114759,158242,584283,126085,119221,161512,78084,102504,490672
"Food","1987",163722,921833,115128,159241,602298,128525,119474,164575,80331,102785,509555
"Food","1988",167256,941527,116195,163382,630903,134393,119543,166809,85065,104428,503143
"Food","1989",177633,956293,116172,162876,665527,137966,120305,169566,92048,105409,511442
"Food","1990",175088,1014383,115206,156301,650393,127126,119404,167945,97930,105042,523131
"Food","1991",185921,1021981,117692,158221,683189,130769,120857,167514,111893,103416,523628
"Food","1992",184619,1078862,118275,162104,715283,137626,122286,170293,119593,104510,533382
"Food","1993",182288,1179761,117267,151185,721789,141852,116845,168506,126798,103258,543755
"Food","1994",191684,1244735,114253,154610,741235,148741,117645,170675,129709,103483,563351
"Food","1995",214600,1334738,116882,154169,765616,165413,115848,171876,135346,102287,562505
"Food","1996",213563,1393787,114975,158188,779348,162975,119875,171723,138658,106947,565290
"Food","1997",223644,1452036,114065,153425,811097,160541,118481,170266,144216,108924,575489
"Food","1998",220786,1510273,116741,155056,860358,161484,121973,165769,151026,110015,582744
"Food","1999",229515,1584937,117951,156498,898706,164559,124425,167757,154034,111431,595079
"Food","2000",236180,1720584,118039,160734,879821,166192,127318,167122,159045,109821,613582
"Food","2001",230164,1771144,120292,159574,893520,169856,122903,166009,161429,113248,605976
"Food","2002",246704,1844835,122209,163035,873998,175604,121531,163971,161475,115788,619498
"Food","2003",249369,1875891,120386,160003,900490,182488,123623,161983,166121,120114,625108
"Food","2004",259529,1939061,122387,158861,892889,188954,129449,161174,176407,120380,634991
"Food","2005",261759,1993873,120022,158622,923028,190390,128516,161647,181871,123472,628442
"Food","2006",272143,2019362,119997,160199,985943,197607,127354,157123,189915,122714,630314
"Food","2007",276176,2087975,120816,161986,1043677,202154,126926,159049,192754,121478,636954
"Food","2008",290742,2183081,119669,159682,1085868,207534,126449,154388,197503,122879,627922
"Food","2009",295670,2225874,121545,161449,1089253,216973,131125,151087,198330,119347,630226
"Food","2010",313681,2308836,120671,157714,1139043,220224,125550,149452,208392,120216,628586
"Food","2011",327899,2378139,121800,161209,1175435,231674,124622,152253,218174,122449,625116
"Food","2012",315024,2454912,119281,159786,1200891,239477,121403,155480,221458,121837,643044
"Food","2013",312488,2499252,120542,158473,1238335,237826,121163,153161,228877,122946,641776
